
2024/ 5/21, 13:48:35 
Generation	Indiv No.	Fitness(Best)	Fitness(Ave.)	Genotype	

2024/ 5/21, 14:49:13 
Generation	Indiv No.	Fitness(Best)	Fitness(Ave.)	Genotype	
29	0	21.000000	13.125000	11011000111000011101
30	0	21.000000	18.375000	11011000111000011101
31	0	21.000000	15.750000	11011000111000011101
32	0	21.000000	10.500000	11011000111000011101
33	0	21.000000	13.125000	11011000111000011101
34	0	21.000000	18.375000	11011000111000011101
35	0	21.000000	18.375000	11011000111000011101
36	0	21.000000	18.375000	11011000111000011101
37	0	21.000000	21.000000	11011000111000011101
38	0	21.000000	15.750000	11011000111000011101
39	0	21.000000	18.375000	11011000111000011101
40	0	21.000000	13.125000	11011000111000011101
41	0	21.000000	18.375000	11011000111000011101
42	0	21.000000	18.375000	11011000111000011101
43	0	21.000000	13.125000	11011000111000011101
44	0	21.000000	13.125000	11011000111000011101
45	0	21.000000	15.750000	11011000111000011101
46	0	21.000000	15.750000	11011000111000011101
47	0	21.000000	21.000000	11011000111000011101
48	0	21.000000	10.500000	11011000111000011101
49	0	21.000000	13.125000	11011000111000011101
50	0	21.000000	13.125000	11011000111000011101
51	0	21.000000	15.750000	11011000111000011101
52	0	21.000000	18.375000	11011000111000011101
53	0	21.000000	15.750000	11011000111000011101
54	0	21.000000	13.125000	11011000111000011101
55	0	21.000000	18.375000	11011000111000011101
56	0	21.000000	15.750000	11011000111000011101
57	0	21.000000	15.750000	11011000111000011101
58	0	21.000000	15.750000	11011000111000011101
